f=742.790000, dc=829.640000, amp=0.170000, phase=0.660000
f=742.940000, dc=829.740000, amp=0.150000, phase=0.620000
f=743.250000, dc=829.820000, amp=0.180000, phase=0.670000
f=743.410000, dc=829.940000, amp=0.160000, phase=0.650000
f=743.560000, dc=829.810000, amp=0.170000, phase=0.580000
f=743.870000, dc=829.910000, amp=0.170000, phase=0.600000
f=744.030000, dc=829.950000, amp=0.170000, phase=0.720000
f=744.190000, dc=829.970000, amp=0.150000, phase=0.800000
f=744.340000, dc=829.970000, amp=0.170000, phase=0.370000
f=744.650000, dc=829.930000, amp=0.170000, phase=0.450000
f=744.810000, dc=829.970000, amp=0.200000, phase=0.810000
f=744.970000, dc=829.600000, amp=0.170000, phase=0.620000
f=745.120000, dc=829.770000, amp=0.150000, phase=0.740000
f=745.440000, dc=829.720000, amp=0.180000, phase=0.770000
f=745.590000, dc=829.650000, amp=0.180000, phase=0.650000
f=745.750000, dc=829.920000, amp=0.160000, phase=0.810000
f=746.060000, dc=829.930000, amp=0.160000, phase=0.480000
f=746.220000, dc=829.910000, amp=0.150000, phase=0.680000
f=746.380000, dc=829.870000, amp=0.190000, phase=0.780000
f=746.530000, dc=829.770000, amp=0.200000, phase=0.660000
f=746.850000, dc=829.820000, amp=0.160000, phase=0.670000
f=747.000000, dc=829.780000, amp=0.160000, phase=0.650000
f=747.160000, dc=830.000000, amp=0.180000, phase=0.840000
f=747.470000, dc=829.740000, amp=0.170000, phase=0.570000
f=747.630000, dc=829.830000, amp=0.140000, phase=0.590000
f=747.790000, dc=829.910000, amp=0.170000, phase=0.900000
f=747.950000, dc=829.790000, amp=0.160000, phase=0.610000
f=748.260000, dc=829.700000, amp=0.190000, phase=0.680000
f=748.420000, dc=829.810000, amp=0.150000, phase=0.820000
f=748.580000, dc=829.870000, amp=0.170000, phase=0.660000
f=748.740000, dc=829.850000, amp=0.150000, phase=0.910000
f=749.050000, dc=830.050000, amp=0.150000, phase=0.880000
f=749.210000, dc=829.760000, amp=0.170000, phase=0.840000
f=749.370000, dc=829.890000, amp=0.180000, phase=0.780000
f=749.530000, dc=829.930000, amp=0.130000, phase=0.800000
